Diamond,Gold,Purple,Brown,Chest
2,3,9,22,1.00
1,2,6,18,0.86
1,1,3,18,0.86
0,2, 10,19,0.68
0,2,7,24,0.69
0,0,8,18,0.66
1,1,5,18,0.59
0,1,7,24,0.79
1,4,4,17,0.52
0,0,7,13,1.08
0,2, 10,22,1.12
0,1,8,18,0.68
0,3,5,21,0.46
1,1,8,21,0.68
0,2,9,23,0.76
1,2,3,17,0.65
0,3,8,18,0.72
1,0,8,20,1.07
0,0,7,16,0.61
1,1,7,21,0.32
1,1,7,21,1.22
0,1,9,16,0.48
0,1,7,21,0.46
0,0,3,15,0.20
0,1,8,19,0.47
0,0,7,15,0.29
0,1, 11,18,1.02
0,2,9,17,1.05
0,0,6,14,0.75
0,0,5,14,0.96
0,2, 13,17,0.64
0,1,9,26,0.48
2,2,9,21,0.96
0,2,7,17,0.49
1,1,5,20,0.59
0,2,6,16,0.46
0,0,5,15,0.21
0,1, 11,26,0.54
0,1,9,16,0.41
0,2,4,20,1.47
0,2,5,19,0.31
2,0, 12,17,0.82
1,1,6,18,0.59
0,3,8,11,0.62
1,0,2,24,0.43
0,2,8,17,0.52
1,0, 12,16,0.59
0,1,8,15,0.39
1,0,6,20,0.49
1,1,2,17,0.50
0,1,7,17,0.38
2,1,6,20,0.82
1,0,9,18,0.55
1,2,9,23,0.80
0,1,4,15,0.31
1,0,7,14,0.46
1,2,7,14,0.70
1,2,7,21,0.75
0,2,7,19,0.50
2,0,8,15,0.72
1,3,6,16,0.81
0,0,4,17,0.65
1,2,8,17,0.73
1,1,4,15,0.55
1,0,3,15,0.39
0,1,5,20,0.38
0,1, 10,15,0.43
0,2,9,18,0.58
1,1,7,25,0.66
2,0,8,17,0.75
0,2,6,15,0.49
0,0,9,19,0.32
1,3,7,24,0.89
